Google_Vol.,Google_Price_MA_50,Google_Price_EMA_12,Google_Price_Volatility_30,Google_Price_Lag_7,Google_Price_Lag_30,Google_Price_BB_Upper,Google_Price_BB_Lower,Google_Price_RSI_14,Google_Price_ROC_10,Natural_Gas_Price,Crude_oil_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
19310000.0,133.3488,132.76148401956755,0.024056102324076088,135.24,130.25,142.63597412632805,128.50102587367195,37.57455268389661,-5.281028753070349,2.639,89.68,3.67,26302.7,923.6,1588.62,4337.44,14768.89,176.08,246.99,317.54,23.385,422.22,548360.0,384.8,131.27,300.83,1936.6
26400000.0,133.3684,132.375101862711,0.02402934411062884,132.43,129.1,142.75772398789036,127.8442760121096,32.131147540983605,-5.3278092746038785,2.637,90.03,3.696,26581.9,934.1,1593.1,4320.06,14701.1,174.79,244.88,317.01,23.844,416.1,546215.0,379.81,129.12,299.08,1945.6
31450000.0,133.34,132.07739388383237,0.023903049633550243,134.17,127.49,142.60049761389746,127.27050238610254,28.03129074315511,-3.427852224772332,2.61,89.63,3.696,26570.0,924.6,1584.03,4330.0,14694.24,173.93,255.7,319.53,23.687,410.17,551030.0,384.15,129.33,295.73,1939.6
29440000.0,133.3642,132.33317944016585,0.024237864027364737,130.86,126.45,142.27034716739516,127.17865283260485,40.93198992443326,-1.1091393078970668,2.733,90.28,3.776,27125.0,942.3,1622.28,4402.2,14969.92,175.49,262.59,320.77,23.836,422.39,556580.0,386.3,135.29,299.67,1967.1
19251000.0,133.4252,133.2111518339865,0.02450528694315091,132.31,124.08,141.98697061699136,127.2940293830087,49.31556195965418,4.236200256739409,2.848,91.2,3.747,27209.2,948.4,1643.08,4443.95,15191.23,179.07,266.5,328.65,23.456,435.2,563073.0,396.2,137.63,305.07,1953.7
21630000.0,133.44539999999998,133.98020539798858,0.024509567836525144,130.54,124.46,141.83878341378153,127.3532165862185,51.16279069767442,3.0111053141536948,2.728,91.48,3.779,26763.5,938.3,1636.92,4453.53,15225.37,177.97,265.28,329.06,23.498,439.66,562800.0,394.4,139.98,302.55,1953.4
38920000.0,133.4652,134.5063276444519,0.024223575251655808,128.57,122.17,141.84401843483,127.35198156517004,54.5884206380465,4.997707473635948,2.644,90.77,3.801,26601.0,929.5,1641.31,4450.32,15202.4,175.01,274.39,330.22,23.386,439.0,559500.0,396.94,140.39,300.31,1946.2
24680000.0,133.4934,135.0592003145362,0.024216000223114823,131.11,122.28,141.69975230669408,127.40924769330594,55.51697530864195,4.376086463608186,2.708,90.16,3.8215,26524.7,911.1,1626.49,4505.1,15473.89,175.74,276.04,338.7,22.994,455.81,561740.0,400.49,144.72,311.72,1932.8
20710000.0,133.4578,135.31316949691526,0.023955986819975766,130.25,125.61,141.01907371958066,127.70592628041936,58.73469387755103,4.726520606710594,2.68,88.52,3.793,26223.0,905.2,1607.63,4467.44,15348.53,174.21,271.3,336.06,23.181,454.85,557955.0,412.24,144.85,305.06,1932.5
19251000.0,133.42520000000002,135.3172972666206,0.014348159805837181,130.44,138.81,140.67282012530373,127.78017987469624,52.42436800663078,5.2656140623784875,2.743,88.84,3.792,25834.5,912.8,1592.5,4461.9,15289.74,176.3,267.48,331.77,23.402,448.7,557415.0,434.69,141.23,301.66,1935.1
20560000.0,133.4386,135.56386691790976,0.014196885995905094,133.74,136.5,140.4249772528564,127.8780227471436,63.52678571428565,4.43139348638546,2.608,87.29,3.807,25166.4,902.3,1551.89,4487.46,15461.87,179.36,273.58,337.94,23.383,451.78,555309.0,445.36,143.1,307.56,1947.2
23580000.0,133.46,135.68942585361594,0.014161367303266592,138.04,135.6,140.2487901592555,127.93420984074451,59.469520707305705,4.706333973128585,2.605,87.51,3.7165,25909.5,894.8,1636.45,4457.49,15280.23,178.18,248.5,334.27,23.174,455.72,551405.0,442.8,138.23,297.89,1942.7
19251000.0,133.4266,135.62336033767502,0.013928861454359126,138.21,137.75,140.26522923853943,127.93677076146056,61.32437619961612,3.695185525912281,2.579,86.87,3.762,26249.8,909.6,1648.09,4451.14,15258.52,177.56,251.49,329.91,23.24,462.41,548930.0,443.14,137.85,298.67,1942.5
19251000.0,133.42340000000002,135.44438182418656,0.013957500262749476,137.4,137.96,140.20572285559146,127.9182771444085,64.97203863751912,0.5383580080753791,2.51,87.54,3.786,25758.0,915.3,1633.18,4465.48,15371.44,182.91,251.92,332.88,23.503,470.61,548660.0,445.76,135.36,299.17,1944.2
19330000.0,133.4664,135.49447692815787,0.013867369093200039,138.1,139.72,140.36751310643675,128.09048689356322,62.63557483731021,-1.6444508838017846,2.582,86.69,3.8485,25790.2,933.5,1634.46,4496.83,15508.24,189.7,256.49,333.55,23.873,485.2382,546627.0,448.68,137.27,300.15,1952.6
21540000.0,133.53779999999998,135.51994201613357,0.013850930561143568,136.71,139.1,140.47507584584798,128.13192415415205,65.29112492933862,-1.8450184501845102,2.765,85.55,3.852,25803.2,968.7,1629.0,4515.77,15490.86,189.46,245.01,328.66,24.562,485.09,550000.0,439.88,138.12,296.38,1967.1
29640000.0,133.6094,135.6199509367284,0.01369189990200968,135.34,137.36,140.5713851399608,128.56661486003918,65.90782898389784,-0.8951965065502332,2.768,83.63,3.822,25937.3,974.4,1645.82,4507.66,15501.07,187.87,258.08,327.76,24.812,485.2382,546725.0,433.68,138.01,295.89,1965.9
26780000.0,133.7222,135.65995848492403,0.013508367855917873,136.92,138.97,140.6789394276779,128.8160605723221,57.13333333333332,-1.6075307748008694,2.796,81.63,3.844,27298.8,983.3,1705.22,4514.87,15462.43,187.65,256.9,328.79,25.104,485.2382,547348.0,434.67,135.07,295.1,1973.0
41160000.0,133.77679999999998,135.49227256416648,0.013407389596284425,136.38,140.55,140.54280823109957,129.35519176890045,35.55370524562859,-1.5653573257260023,2.556,81.16,3.8295,27723.9,983.0,1729.69,4497.63,15376.55,184.12,257.18,328.41,25.139,485.2382,543593.0,429.99,134.91,297.99,1965.1
20090000.0,133.7776,134.80269216967932,0.01386216451441252,135.26,138.06,140.16293748669622,129.97906251330377,26.623376623376487,-3.1993497857248476,2.579,80.1,3.7855,26118.9,969.1,1653.22,4433.31,15052.46,180.19,238.82,323.7,24.605,468.35,539605.0,418.06,133.14,290.26,1946.8
26760000.0,133.77020000000002,134.04535491280558,0.013894782568023047,134.46,138.42,140.3275624687055,129.6914375312945,26.081424936386654,-5.141688577271397,2.54,79.83,3.779,26057.2,945.1,1653.74,4405.71,14941.83,178.61,238.59,322.98,24.583,460.18,540000.0,416.03,133.26,285.5,1939.9
27890000.0,133.78379999999999,133.38914646468166,0.013875305733346624,135.77,137.58,140.39597674866116,129.57602325133888,22.48677248677241,-4.839419269687628,2.519,79.05,3.7875,26177.0,939.9,1660.89,4376.31,14816.44,176.38,230.04,319.97,24.575,471.63,537780.0,406.93,131.84,286.75,1947.1
