Crude_oil_Vol.,Crude_oil_Price_MA_50,Crude_oil_Price_EMA_12,Crude_oil_Price_Volatility_30,Crude_oil_Price_Lag_7,Crude_oil_Price_Lag_30,Crude_oil_Price_BB_Upper,Crude_oil_Price_BB_Lower,Crude_oil_Price_RSI_14,Crude_oil_Price_ROC_10,Natural_Gas_Price,Copper_Price,Bitcoin_Price,Platinum_Price,Ethereum_Price,S&P_500_Price,Nasdaq_100_Price,Apple_Price,Tesla_Price,Microsoft_Price,Silver_Price,Google_Price,Nvidia_Price,Berkshire_Price,Netflix_Price,Amazon_Price,Meta_Price,Gold_Price
452910.0,85.82860000000001,88.22738038975248,0.02153062836214131,90.16,86.66,93.25864416309422,85.92935583690577,34.7604485219164,-4.945175438596494,2.582,3.8485,25790.2,933.5,1634.46,4496.83,15508.24,189.7,256.49,333.55,23.873,135.77,485.2382,546627.0,448.68,137.27,300.15,1952.6
420460.0,85.97439999999999,87.81547571440593,0.021669018678297444,88.52,86.66,93.50896449433783,85.35203550566219,28.86792452830194,-6.482291211193713,2.765,3.852,25803.2,968.7,1629.0,4515.77,15490.86,189.46,245.01,328.66,24.562,135.66,485.09,550000.0,439.88,138.12,296.38,1967.1
368850.0,86.10359999999999,87.1715563737281,0.021913699166773045,88.84,87.69,93.84622578755132,84.29877421244869,25.2475247524753,-7.866035033601415,2.768,3.822,25937.3,974.4,1645.82,4507.66,15501.07,187.87,258.08,327.76,24.812,136.17,485.2382,546725.0,433.68,138.01,295.89,1965.9
299420.0,86.22139999999999,86.31900923930839,0.0199808967900207,87.29,82.91,94.21789223559267,82.91910776440733,17.89161098737941,-9.460958296362021,2.796,3.844,27298.8,983.3,1705.22,4514.87,15462.43,187.65,256.9,328.79,25.104,135.88,485.2382,547348.0,434.67,135.07,295.1,1973.0
284170.0,86.338,85.52531551018402,0.01995538861750421,87.51,83.49,93.96911072594716,81.91588927405283,11.443932411674396,-8.314505196565747,2.556,3.8295,27723.9,983.0,1729.69,4497.63,15376.55,184.12,257.18,328.41,25.139,134.57,485.2382,543593.0,429.99,134.91,297.99,1965.1
246580.0,86.3926,84.69065158554032,0.019218601248720338,86.87,85.97,94.27582746954303,80.58017253045699,8.768115942029027,-9.837910850968045,2.579,3.7855,26118.9,969.1,1653.22,4433.31,15052.46,180.19,238.82,323.7,24.605,131.01,468.35,539605.0,418.06,133.14,290.26,1946.8
411410.0,86.37280000000001,83.94285903391874,0.01917455822285333,87.54,86.38,94.48251049213646,79.38848950786355,9.05688622754495,-8.54622522625731,2.54,3.779,26057.2,945.1,1653.74,4405.71,14941.83,178.61,238.59,322.98,24.583,129.88,460.18,540000.0,416.03,133.26,285.5,1939.9
349230.0,86.34360000000001,83.19011149023892,0.01776516871090805,86.69,82.79,94.5573680850418,78.2156319149582,8.94308943089436,-9.66746657524855,2.519,3.7875,26177.0,939.9,1660.89,4376.31,14816.44,176.38,230.04,319.97,24.575,129.78,471.63,537780.0,406.93,131.84,286.75,1947.1
378150.0,86.2722,82.52855587635601,0.017746225003368952,85.55,82.31,94.5192841289217,77.17971587107832,10.04149377593366,-9.186140209508464,2.497,3.8305,26436.2,935.1,1679.93,4436.01,15148.06,181.12,236.86,327.0,24.71,132.37,471.16,537150.0,427.55,135.52,294.24,1948.1
66429.0,86.2704,82.1933934338397,0.017542413611227884,83.63,84.22,94.091534382715,76.61446561728499,17.81652767247911,-8.213388165410107,2.56,3.7825,26039.9,921.4,1634.29,4387.55,14908.96,177.23,233.19,322.46,23.763,129.08,456.68,531840.0,413.17,134.25,287.6,1926.0
